term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,treatment_group
-2,-0.3031221990094072,0.01787190823962875,-0.3381511391590795,-0.26809325885973484,-16.96081889774205,1.6009758288369385e-64,-2,poultry_other_livestock
1,-0.28151799525990334,0.01658841715766729,-0.3140312928889312,-0.24900469763087546,-16.970756919371517,1.3517840005883593e-64,1,poultry_other_livestock
2,-0.16471037088936186,0.01532957563377725,-0.19475633913156526,-0.13466440264715845,-10.744613864355015,6.2824248891578386e-27,2,poultry_other_livestock
3,-0.2551385052067231,0.01575628245927721,-0.28602081882690644,-0.22425619158653975,-16.19281108130294,5.667897913499284e-59,3,poultry_other_livestock
4,-0.23562900711332158,0.01773025640051294,-0.27038030965832693,-0.20087770456831622,-13.289655929990094,2.6579761166287582e-40,4,poultry_other_livestock
5,-0.2637702063424825,0.01751095874165691,-0.29809168547613,-0.22944872720883497,-15.063150466741618,2.829744096768933e-51,5,poultry_other_livestock
6,-0.14470951293299217,0.014341334704490137,-0.17281852895379285,-0.1166004969121915,-10.09037972509525,6.093334585810289e-24,6,poultry_other_livestock
7,-0.27398838679124926,0.015534638178353974,-0.30443627762082304,-0.24354049596167548,-17.63725576647326,1.275045496451573e-69,7,poultry_other_livestock
8,-0.21261833467992997,0.017071241060325686,-0.24607796715816832,-0.1791587022016916,-12.454767285435638,1.3173518342707325e-35,8,poultry_other_livestock
9,-0.234395491599283,0.015691975470959865,-0.26515176352236436,-0.20363921967620166,-14.93728383867689,1.8850342625290435e-50,9,poultry_other_livestock
10,-0.09752517706072726,0.015609072317640475,-0.1281189588033026,-0.06693139531815193,-6.247980346052335,4.1579397956662903e-10,10,poultry_other_livestock
11,-0.2531299401885234,0.014384722590508763,-0.2813239964659206,-0.22493588391112623,-17.59713742102625,2.5909313976138835e-69,11,poultry_other_livestock
12,-0.327399234891331,0.01911754906405658,-0.36486963105688186,-0.2899288387257801,-17.125586224171546,9.564117650254156e-66,12,poultry_other_livestock
13,-0.28197629946083924,0.017788380441211532,-0.31684152512561387,-0.24711107379606465,-15.851712885989658,1.3680067393872873e-56,13,poultry_other_livestock
14,-0.27925890322239166,0.01625487337262664,-0.3111184550327399,-0.24739935141204344,-17.18001099243666,3.748401685194399e-66,14,poultry_other_livestock
15,-0.20708962876652293,0.019796320787791408,-0.2458904175105941,-0.16828884002245176,-10.461016013351188,1.3044927418615377e-25,15,poultry_other_livestock
16,-0.2958887119871618,0.02204807876345801,-0.33910294636353955,-0.2526744776107841,-13.420158516376542,4.607266847916064e-41,16,poultry_other_livestock
17,-0.29117093652721004,0.025004816745231907,-0.3401803773478646,-0.2421614957065555,-11.644593899402704,2.4448344459877045e-31,17,poultry_other_livestock
18,-0.23986270549884137,0.01588713422030841,-0.2710014885706459,-0.20872392242703688,-15.097921511371545,1.6711874908584964e-51,18,poultry_other_livestock
19,-0.20193441801741271,0.016412768714662997,-0.2341034446981522,-0.16976539133667323,-12.303495012210012,8.673812343733879e-35,19,poultry_other_livestock
20,-0.2861503025970665,0.018948247484128197,-0.32328886766595777,-0.2490117375281752,-15.101676439299059,1.5786803083863693e-51,20,poultry_other_livestock
21,-0.24120401117798712,0.01924587778825127,-0.2789259316429596,-0.20348209071301462,-12.532762279371385,4.94112148417035e-36,21,poultry_other_livestock
22,-0.2876008341218391,0.018203988731905516,-0.3232806520363739,-0.25192101620730434,-15.798781154910893,3.1719008325799877e-56,22,poultry_other_livestock
23,-0.3087371826256357,0.016874671047913653,-0.3418115378795465,-0.27566282737172493,-18.295893398396487,8.92263193074322e-75,23,poultry_other_livestock
24,-0.27454780560050474,0.025313520447717095,-0.3241623056780302,-0.22493330552297924,-10.845895819491393,2.0858238027053147e-27,24,poultry_other_livestock
25,-0.27940156753525475,0.020471597834695345,-0.31952589929125763,-0.23927723577925186,-13.648254024496508,2.0677349705502345e-42,25,poultry_other_livestock
26,-0.2424743572331173,0.02099967197634379,-0.2836337143067511,-0.20131500015948348,-11.546578323045502,7.681824232461485e-31,26,poultry_other_livestock
27,-0.32208691295833913,0.016063004278826853,-0.35357040134483975,-0.2906034245718385,-20.051474018648676,1.9595251883925887e-89,27,poultry_other_livestock
28,-0.24341702303355225,0.019016352283932465,-0.2806890735100599,-0.20614497255704461,-12.800405640319529,1.6309705263772055e-37,28,poultry_other_livestock
29,-0.30266635985902285,0.019004958748628592,-0.3399160790063349,-0.2654166407117108,-15.92565202915073,4.206062128089797e-57,29,poultry_other_livestock
30,-0.2996610608931839,0.020081218591238344,-0.339020249332011,-0.26030187245435676,-14.9224540100335,2.3545225673705063e-50,30,poultry_other_livestock
31,-0.3002770784706643,0.01649059346037595,-0.3325986416530012,-0.26795551528832745,-18.208991640730112,4.379384350906564e-74,31,poultry_other_livestock
32,-0.20944655464201972,0.018515588832584286,-0.24573710875388494,-0.1731560005301545,-11.311903528200487,1.1457645692810798e-29,32,poultry_other_livestock
33,-0.27222093785160606,0.019208062782981587,-0.30986874090624994,-0.23457313479696215,-14.172222411350862,1.3612339718935328e-45,33,poultry_other_livestock
34,-0.3015968331017147,0.018920679869953404,-0.3386813656468234,-0.264512300556606,-15.940063209919817,3.3401578030852757e-57,34,poultry_other_livestock
