geo,month,measure,value,flag
SK,2023m12,THS_T,.52999997,
DK,2023m12,THS_T,8.9700003,
AT,2024m1,THS_T,17.629999,
BE,2024m1,THS_T,21.77,
BG,2024m1,THS_T,.75999999,
CY,2024m1,THS_T,.62,
CZ,2024m1,THS_T,6.1700001,
DE,2024m1,THS_T,85.349998,
EE,2024m1,THS_T,.63999999,
EL,2024m1,THS_T,2.9200001,
ES,2024m1,THS_T,60.290001,
FI,2024m1,THS_T,7.6100001,
FR,2024m1,THS_T,111.98,p
HR,2024m1,THS_T,3.3399999,
HU,2024m1,THS_T,1.84,
IE,2024m1,THS_T,52.830002,
IT,2024m1,THS_T,54.720001,
LT,2024m1,THS_T,3.53,
LU,2024m1,THS_T,.82999998,
LV,2024m1,THS_T,1.49,
MT,2024m1,THS_T,.1,
NL,2024m1,THS_T,38.389999,
PL,2024m1,THS_T,50.849998,
PT,2024m1,THS_T,8.3299999,
RO,2024m1,THS_T,2.53,p
SE,2024m1,THS_T,12.12,
SI,2024m1,THS_T,2.6500001,
SK,2024m1,THS_T,.58999997,
DK,2024m1,THS_T,9.79,
AT,2024m2,THS_T,16.129999,
BE,2024m2,THS_T,19.299999,
BG,2024m2,THS_T,.66000003,
CY,2024m2,THS_T,.52999997,
CZ,2024m2,THS_T,5.6999998,
DE,2024m2,THS_T,85.199997,
EE,2024m2,THS_T,.63999999,
EL,2024m2,THS_T,2.5999999,
ES,2024m2,THS_T,56.639999,
FI,2024m2,THS_T,7.0500002,
FR,2024m2,THS_T,105.15,p
HR,2024m2,THS_T,3.0999999,
HU,2024m2,THS_T,1.64,
IE,2024m2,THS_T,51.540001,
IT,2024m2,THS_T,51.419998,
LT,2024m2,THS_T,3.8,
LU,2024m2,THS_T,.76999998,
LV,2024m2,THS_T,1.3,
MT,2024m2,THS_T,.090000004,
NL,2024m2,THS_T,35.48,
PL,2024m2,THS_T,52.959999,
PT,2024m2,THS_T,7.54,
RO,2024m2,THS_T,2.71,p
SE,2024m2,THS_T,11.67,
SI,2024m2,THS_T,2.4000001,
SK,2024m2,THS_T,.61000001,
DK,2024m2,THS_T,9.0500002,
AT,2024m3,THS_T,16.91,
BE,2024m3,THS_T,20.940001,
BG,2024m3,THS_T,.63,
CY,2024m3,THS_T,.49000001,
CZ,2024m3,THS_T,5.5700002,
DE,2024m3,THS_T,87.25,
EE,2024m3,THS_T,.58999997,
EL,2024m3,THS_T,2.5899999,
ES,2024m3,THS_T,56.75,
FI,2024m3,THS_T,6.6999998,
FR,2024m3,THS_T,109.96,p
HR,2024m3,THS_T,3.52,
HU,2024m3,THS_T,1.34,
IE,2024m3,THS_T,46.66,
IT,2024m3,THS_T,54.880001,
LT,2024m3,THS_T,3.6099999,
LU,2024m3,THS_T,.80000001,
LV,2024m3,THS_T,1.3,
MT,2024m3,THS_T,.079999998,
NL,2024m3,THS_T,37.830002,
PL,2024m3,THS_T,55.490002,
PT,2024m3,THS_T,7.6500001,
RO,2024m3,THS_T,2.6199999,p
SE,2024m3,THS_T,10.72,
SI,2024m3,THS_T,2.78,
SK,2024m3,THS_T,.52999997,
DK,2024m3,THS_T,8.6400003,
AT,2024m4,THS_T,17.559999,
BE,2024m4,THS_T,21.370001,
BG,2024m4,THS_T,.56,
CY,2024m4,THS_T,.41999999,
CZ,2024m4,THS_T,5.9499998,
DE,2024m4,THS_T,85.25,
EE,2024m4,THS_T,.63,
EL,2024m4,THS_T,2.71,
ES,2024m4,THS_T,61.290001,
FI,2024m4,THS_T,7.29,
FR,2024m4,THS_T,112.59,
HR,2024m4,THS_T,3.27,
HU,2024m4,THS_T,2.1700001,
IE,2024m4,THS_T,48.91,
IT,2024m4,THS_T,50.630001,
LT,2024m4,THS_T,3.6500001,
LU,2024m4,THS_T,.77999997,
LV,2024m4,THS_T,1.25,
MT,2024m4,THS_T,.1,
NL,2024m4,THS_T,36.84,
PL,2024m4,THS_T,53.860001,
PT,2024m4,THS_T,8.6199999,
RO,2024m4,THS_T,2.78,p
SE,2024m4,THS_T,11.44,
SI,2024m4,THS_T,2.8299999,
SK,2024m4,THS_T,.63999999,
DK,2024m4,THS_T,10.27,
AT,2024m5,THS_T,16.440001,
BE,2024m5,THS_T,21.58,
BG,2024m5,THS_T,.52999997,
CY,2024m5,THS_T,.43000001,
CZ,2024m5,THS_T,5.75,
DE,2024m5,THS_T,80.050003,
EE,2024m5,THS_T,.57999998,
EL,2024m5,THS_T,2.9000001,
ES,2024m5,THS_T,66.5,
FI,2024m5,THS_T,7.4099998,
FR,2024m5,THS_T,108.87,
HR,2024m5,THS_T,3.5899999,
HU,2024m5,THS_T,1.9299999,
IE,2024m5,THS_T,48.810001,
IT,2024m5,THS_T,55.450001,
LT,2024m5,THS_T,3.5,
LU,2024m5,THS_T,.77999997,
LV,2024m5,THS_T,1.29,
MT,2024m5,THS_T,.079999998,
NL,2024m5,THS_T,35.209999,
PL,2024m5,THS_T,52.220001,
PT,2024m5,THS_T,9.6300001,
RO,2024m5,THS_T,2.46,p
SE,2024m5,THS_T,11.44,
SI,2024m5,THS_T,2.52,
SK,2024m5,THS_T,.62,
DK,2024m5,THS_T,9.75,
AT,2024m7,THS_T,15.83,
BE,2024m7,THS_T,19.459999,
BG,2024m7,THS_T,.49000001,
CY,2024m7,THS_T,.41,
CZ,2024m7,THS_T,5.1599998,
DE,2024m7,THS_T,79.529999,
EE,2024m7,THS_T,.61000001,
EL,2024m7,THS_T,2.8199999,
ES,2024m7,THS_T,64.739998,
FI,2024m7,THS_T,7.1300001,
FR,2024m7,THS_T,108.48,
HR,2024m7,THS_T,3.8099999,
HU,2024m7,THS_T,1.84,
IE,2024m7,THS_T,50.43,
IT,2024m7,THS_T,55.369999,
LT,2024m7,THS_T,3.5999999,
LU,2024m7,THS_T,.69999999,
LV,2024m7,THS_T,1.22,
MT,2024m7,THS_T,.1,
NL,2024m7,THS_T,34.549999,
PL,2024m7,THS_T,52.16,
PT,2024m7,THS_T,9.54,
RO,2024m7,THS_T,2.99,p
SE,2024m7,THS_T,11.22,
SI,2024m7,THS_T,2.0699999,
SK,2024m7,THS_T,.55000001,
DK,2024m7,THS_T,8.9099998,
AT,2024m8,THS_T,15.16,
BE,2024m8,THS_T,21.1,
BG,2024m8,THS_T,.40000001,
CY,2024m8,THS_T,.38999999,
CZ,2024m8,THS_T,5.3400002,
DE,2024m8,THS_T,78.940002,
EE,2024m8,THS_T,.58999997,
EL,2024m8,THS_T,2.78,
ES,2024m8,THS_T,60.540001,
FI,2024m8,THS_T,7.1399999,
FR,2024m8,THS_T,100.42,
HR,2024m8,THS_T,3.6199999,
HU,2024m8,THS_T,1.87,
IE,2024m8,THS_T,48.259998,
IT,2024m8,THS_T,55.369999,
LT,2024m8,THS_T,3.0799999,
LU,2024m8,THS_T,.68000001,
LV,2024m8,THS_T,1.29,
MT,2024m8,THS_T,.079999998,
NL,2024m8,THS_T,34.880001,
PL,2024m8,THS_T,50.389999,
PT,2024m8,THS_T,8.6999998,
RO,2024m8,THS_T,2.78,p
SE,2024m8,THS_T,11.9,
SI,2024m8,THS_T,1.96,
SK,2024m8,THS_T,.51999998,
DK,2024m8,THS_T,9.7299995,
AT,2024m9,THS_T,17.049999,
BE,2024m9,THS_T,20.959999,
BG,2024m9,THS_T,.49000001,
CY,2024m9,THS_T,.49000001,
CZ,2024m9,THS_T,5.7199998,
DE,2024m9,THS_T,83.779999,
EE,2024m9,THS_T,.64999998,
EL,2024m9,THS_T,2.6900001,
ES,2024m9,THS_T,60.139999,
FI,2024m9,THS_T,7.3400002,
FR,2024m9,THS_T,109.46,
HR,2024m9,THS_T,3.78,
HU,2024m9,THS_T,1.85,
IE,2024m9,THS_T,54.849998,
IT,2024m9,THS_T,58.040001,
LT,2024m9,THS_T,3.4300001,
LU,2024m9,THS_T,.77999997,
LV,2024m9,THS_T,1.3200001,
MT,2024m9,THS_T,.1,
NL,2024m9,THS_T,35.310001,
PL,2024m9,THS_T,49.950001,
PT,2024m9,THS_T,8.5200005,
RO,2024m9,THS_T,2.9300001,p
SE,2024m9,THS_T,12.27,
SI,2024m9,THS_T,2.6500001,
SK,2024m9,THS_T,.62,
DK,2024m9,THS_T,9.8900003,
AT,2024m10,THS_T,19.34,
BE,2024m10,THS_T,22.120001,
BG,2024m10,THS_T,.75999999,
CY,2024m10,THS_T,.49000001,
CZ,2024m10,THS_T,6.3400002,
DE,2024m10,THS_T,92.400002,
EE,2024m10,THS_T,.79000002,
EL,2024m10,THS_T,2.6199999,
ES,2024m10,THS_T,61.41,
FI,2024m10,THS_T,8.3299999,
FR,2024m10,THS_T,119.06,
HR,2024m10,THS_T,3.8800001,
HU,2024m10,THS_T,1.97,
IE,2024m10,THS_T,59.400002,
IT,2024m10,THS_T,59.25,
LT,2024m10,THS_T,4.5100002,
LU,2024m10,THS_T,.97000003,
LV,2024m10,THS_T,1.5700001,
MT,2024m10,THS_T,.12,
NL,2024m10,THS_T,40.68,
PL,2024m10,THS_T,60.290001,
PT,2024m10,THS_T,8.9099998,
RO,2024m10,THS_T,3.74,p
SE,2024m10,THS_T,14.17,
SI,2024m10,THS_T,3.3299999,
SK,2024m10,THS_T,.69,
DK,2024m10,THS_T,10.74,
