geo,month,measure,value,flag
NL,2024m4,THS_HD,178.45,
PL,2024m4,THS_HD,176.56,
PT,2024m4,THS_HD,33.810001,
RO,2024m4,THS_HD,11.83,p
SE,2024m4,THS_HD,34.93,
SI,2024m4,THS_HD,9.5,
SK,2024m4,THS_HD,2.1400001,
DK,2024m4,THS_HD,38.139999,
AT,2024m5,THS_HD,48.950001,
BE,2024m5,THS_HD,68.620003,
BG,2024m5,THS_HD,2.47,
CY,2024m5,THS_HD,1.61,
CZ,2024m5,THS_HD,18.6,
DE,2024m5,THS_HD,238.39999,
EE,2024m5,THS_HD,2.3399999,
EL,2024m5,THS_HD,11.94,
ES,2024m5,THS_HD,224.00999,
FI,2024m5,THS_HD,22.48,
FR,2024m5,THS_HD,329.72,
HR,2024m5,THS_HD,13.5,
HU,2024m5,THS_HD,7.1900001,
IE,2024m5,THS_HD,150.92,
IT,2024m5,THS_HD,220.73,
LT,2024m5,THS_HD,12.38,
LU,2024m5,THS_HD,2.04,
LV,2024m5,THS_HD,5.7199998,
MT,2024m5,THS_HD,.28999999,
NL,2024m5,THS_HD,169.82001,
PL,2024m5,THS_HD,171.36,
PT,2024m5,THS_HD,37.380001,
RO,2024m5,THS_HD,10.01,p
SE,2024m5,THS_HD,34.330002,
SI,2024m5,THS_HD,8.2299995,
SK,2024m5,THS_HD,2.0699999,
DK,2024m5,THS_HD,36.389999,
AT,2024m7,THS_HD,46.139999,
BE,2024m7,THS_HD,63.91,
BG,2024m7,THS_HD,2.4100001,
CY,2024m7,THS_HD,1.5700001,
CZ,2024m7,THS_HD,16.870001,
DE,2024m7,THS_HD,236.92999,
EE,2024m7,THS_HD,2.45,
EL,2024m7,THS_HD,12.26,
ES,2024m7,THS_HD,221.33,
FI,2024m7,THS_HD,22.040001,
FR,2024m7,THS_HD,325.01999,
HR,2024m7,THS_HD,14.1,
HU,2024m7,THS_HD,7.02,
IE,2024m7,THS_HD,157.67,
IT,2024m7,THS_HD,219.37,
LT,2024m7,THS_HD,12.87,
LU,2024m7,THS_HD,1.83,
LV,2024m7,THS_HD,5.4099998,
MT,2024m7,THS_HD,.34,
NL,2024m7,THS_HD,167.17,
PL,2024m7,THS_HD,175.86,
PT,2024m7,THS_HD,37.619999,
RO,2024m7,THS_HD,13.17,p
SE,2024m7,THS_HD,33.490002,
SI,2024m7,THS_HD,6.5999999,
SK,2024m7,THS_HD,1.87,
DK,2024m7,THS_HD,33.919998,
AT,2024m8,THS_HD,44.91,
BE,2024m8,THS_HD,68.870003,
BG,2024m8,THS_HD,2.0599999,
CY,2024m8,THS_HD,1.49,
