panel,x,y,persistence,taxable_share,incremental_pass_through,beta,beta_low,beta_high,pre_price_dkk_kg,damage_dkk_kg,announcement_dkk_kg,attribution_share,implementation_dkk_kg,remaining_gap_dkk_kg,conf_low,conf_high,sensitivity_low,sensitivity_high
4,0,.28,0,1,.28,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.101445681688534,63.81241322441106,63.81241322441106,63.81241322441106,30.57024438195262,148.5669243648919
1,0,.54,0,.25,.54,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.013197025099829,64.90066188099976,64.90066188099976,64.90066188099976,31.65849303854133,149.6551730214807
3,0,.04,0,.75,.04,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.2251548944666286,65.68870401163296,65.68870401163296,65.68870401163296,32.44653516917453,150.4432151521139
2,0,.92,0,.5,.92,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,3.452375048488305,62.46148385761128,62.46148385761128,62.46148385761128,29.21931501515285,147.2159949980922
4,0,.78,0,1,.78,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,5.854027256132344,60.05983164996725,60.05983164996725,60.05983164996725,26.81766280750881,144.8143427904481
4,0,.3,0,1,.3,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,2.251548944666286,63.66230996143331,63.66230996143331,63.66230996143331,30.42014111897487,148.4168211019142
4,0,.02,0,1,.02,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.1501032629777524,65.76375564312184,65.76375564312184,65.76375564312184,32.52158680066341,150.5182667836027
1,0,1,0,.25,1,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.876290787221905,64.03756811887769,64.03756811887769,64.03756811887769,30.79539927641925,148.7920792593586
4,0,.2,0,1,.2,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.501032629777524,64.41282627632206,64.41282627632206,64.41282627632206,31.17065743386364,149.167337416803
1,0,.74,0,.25,.74,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.38845518254421,64.52540372355539,64.52540372355539,64.52540372355539,31.28323488109695,149.2799148640363
2,0,.4,0,.5,.4,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.501032629777524,64.41282627632206,64.41282627632206,64.41282627632206,31.17065743386364,149.167337416803
2,0,.1,0,.5,.1,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.375258157444381,65.53860074865521,65.53860074865521,65.53860074865521,32.29643190619678,150.2931118891361
3,0,.08,0,.75,.08,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,.4503097889332572,65.46354911716634,65.46354911716634,65.46354911716634,32.2213802747079,150.2180602576472
1,0,.78,0,.25,.78,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.463506814033086,64.45035209206651,64.45035209206651,64.45035209206651,31.20818324960807,149.2048632325474
2,0,.52,0,.5,.52,.0643767291004113,.0019258107,.12682764,147.2494728167993,65.91385890609959,0,1,1.951342418710781,63.96251648738881,63.96251648738881,63.96251648738881,30.72034764493038,148.7170276278697
